#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Dec 15 15:31:31 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FilterTest_Syn_map.ncd
#OUTPUT FILE:      FilterTest_Syn_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -1
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,FF8<7>,IOB,IO_L9N_T1_DQS_AD7N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A2,,,GND,,,,,,,,,,,,
A3,MInput7<0>,IOB,IO_L8N_T1_AD14N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A4,FF7<4>,IOB,IO_L8P_T1_AD14P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A5,FF8<4>,IOB,IO_L3N_T0_DQS_AD5N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A6,FF9<0>,IOB,IO_L3P_T0_DQS_AD5P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,FF9<6>,IOB,IO_L4N_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,FF5<6>,IOB,IO_L9P_T1_DQS_AD3P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A14,FF5<3>,IOB,IO_L9N_T1_DQS_AD3N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A15,FF5<4>,IOB,IO_L8P_T1_AD10P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A16,FF5<1>,IOB,IO_L8N_T1_AD10N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,FF5<5>,IOB,IO_L10N_T1_AD11N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B1,FF7<1>,IOB,IO_L9P_T1_DQS_AD7P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B2,MInput7<1>,IOB,IO_L10N_T1_AD15N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B3,MInput7<2>,IOB,IO_L10P_T1_AD15P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B4,MInput8<2>,IOB,IO_L7N_T1_AD6N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,FF8<2>,IOB,IO_L2N_T0_AD12N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B7,FF8<0>,IOB,IO_L2P_T0_AD12P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,FF9<3>,IOB,IO_L4P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B12,FF9<4>,IOB,IO_L3N_T0_DQS_AD1N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B13,FF2<6>,IOB,IO_L2P_T0_AD8P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B14,FF9<2>,IOB,IO_L2N_T0_AD8N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,FF7<6>,IOB,IO_L7P_T1_AD2P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B17,FF7<0>,IOB,IO_L7N_T1_AD2N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B18,FF6<0>,IOB,IO_L10P_T1_AD11P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C1,Output<6>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,Output<7>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,FF8<5>,IOB,IO_L7P_T1_AD6P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C5,MInput9<3>,IOB,IO_L1N_T0_AD4N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C6,MInput9<0>,IOB,IO_L1P_T0_AD4P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C7,FF8<6>,IOB,IO_L4N_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
